data,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Máy đẹp, pin khoẻ, bên hay không thì phải sử dụng một thời gian mới biết được",Battery,positive,neutral,positive → neutral,1
Uầy cửa hàng gửi cho con máy gần đẹp keng luôn. Nhắn cửa hàng không thích bản docomo cửa hàng gửi cho bản au còn cài sẵn rom qt không app rác luôn. Pin còn 3k1/4k hơi kém tí nhưng chấp nhận được với giá sale ntn,Battery,positive,neutral,positive → neutral,2
"Em này ngoại hình khá mới luôn, chỉ bị cổng sạc hơi xấu, chữ harman kardon hơi mờ còn lại mới keng. Sạc kèm theo khá tốt, sạc nhanh mà ít nóng hơn hơn cả con 22.5w chính hãng của mình. Loa ẻm thì tốt thôi rồi, âm bass các thứ đập siêu đã, màn hình cũng ổn, mình không chơi game nên chip 2,3 năm còn tốt chán. Cửa hàng khá tốt, giải đáp hỗ trợ khá ổn. Nhưng bị cái cam hơi xấu bù lại cũng nhiều tính năng nên mua nhá",Camera,negative,positive,negative → positive,1
"Màu sắc: đen 
Phân loại: likenew 99% sau hơn 20 ngày sử dụng đây là một số lưu ý. Dành cho mọi người nếu quyết định mua máy này mọi tính năng về mạng xã hội tốt nghe gọi tốt ngày đầu tiên mới mua ấy nó sẽ bị hơi lag nhưng mà sử dụng hơn một tuần nó sẽ tối ưu sẽ mượt. Còn về phần chơi game nếu như chơi liên quân bật mắc nó sẽ hơi ấm nhẹ thôi. Còn về phần pin chơi game nếu mà chơi liên tục thì cũng từ 4 đến 5 tiếng. Còn về phần ngoại hình của máy thì trong thời gian mình sử dụng có một vấn đề nho nhỏ nhưng mà cửa hàng cũng đã hỗ trợ giải quyết xong nhưng mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải trí chụp ảnh tốt không có vấn đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng giá hơn mọi người mua về nghe gọi mạng xã hội chụp ảnh thì hết bài rồi",Camera,negative,positive,negative → positive,3
Máy ít sước nhưng các cạnh có dấu hiệu bí tháo ra còn về bên trong thì máy chiến game ok pubg mobile max setting. Pubg 2 max setting geshin max setting nhưng bất lợi là nóng máy khi vừa vô game 1 p cần quạt tản nhiệt tốt hơn với hao pin nhanh lq mobile max seting.còn về camera không để ý vì mua về game,Camera,neutral,negative,neutral → negative,1
"Nhóm màu: màu tím than nói chung là tốt chỉ camera sau đã bị mờ máy cũ đã qua sử dụng phải chấp nhận thôi, sẽ tiếp tục ủng hộ lần sau nếu có nhu cầu cảm ơn cửa hàng tặng 5 sao",Camera,neutral,negative,neutral → negative,1
Camera chụp ảnh tốt nhưng chơi game thì lại giật lag nhiều.,Camera,positive,negative,positive → negative,1
"Chất lượng sản phẩm: nfc không được nhạy, camera tương đối ổn 108mp mà nó lạ lắm 
Đúng với mô tả: redmi note 14, hàng trưng bày 
Tính năng nổi bật: trong tầm giá dễ tiếp cận đến người sử dụng nhân viên fpt nhiệt tình, chu đáo, nhận hàng là hàng trưng bày, không được bóc siu, hàng đã khui hộp. không được thích cho lắm. nếu được nhận hàng full box nữa thì quá tốt. cần rõ ràng hơn về chính sách bảo hành của sản phẩm.",Camera,positive,negative,positive → negative,1
pin hơi hẻo sử dụng được hơn 3h một tí màn hình bị ám một vạch nền xanh trắng mới thấy rõ. Camera chụp đẹp nên mua nha mọi người,Camera,positive,negative,positive → negative,1
"Đã nhận hàng bọc cẩn thận, nguyên seal, màu điện thoại không đẹp lắm. cam chụp tạm được, sử dụng 1 thời gian xem có ok không rồi phản hồi lại sau",Camera,positive,negative,positive → negative,2
"Đã nhận được hàng khung và camera sau xước 4-5 vết chỉ được 90% thôi nhưng cũng ổn với 1 máy có giá 2,1 triệu",Camera,positive,negative,positive → negative,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: ổn 
Tính năng nổi bật: ổn, cam wide gần bằng 11t lấy hình note 14 pro 4g tạm vậy, con note 14 này săn sale ổn, giá 3tr5 cho combo 6/128, mua cho bố do bố không thích gu cam tròn lồi to đùng như thịnh hành bây giờ, phải chi có con ngang cỡ note 10 pro 4g 1 thời thì hay quá, mà giá lại nó đụng note 14 pro 4g rồi.",Camera,positive,negative,positive → negative,1
"Máy chất lượng ạ. Chuẩn hàng 99. Chỉ xước nhẹ vài đường ở mặt lưng và quanh phần lỗ sạc. cửa hàng gửi hàng nhanh, tư vấn nhiệt tình.",Design,negative,positive,negative → positive,1
"máy dễ sử dụng, pin trâu. chạy nhạc nguyên ngày chưa hết tới 50% pin. không thích cái nhãn dán ở lưng, khó bóc và xấu.",Design,negative,positive,negative → positive,1
Đã nhận hàng đầy đủ. Đóng gói cẩn thận. Máy hơi xước viền nhưng nhìn chung khá tốt và hài lòng. Chưa biết độ bền ntn. Hình ảnh mang tính chất nhận xu!,Design,negative,positive,negative → positive,1
Ổn lắm nhé. Lúc mua hơi lo ngại. Nhận máy xong và test 2 ngày thấy quá ok. Pin ổn. Máy có 1 vết ở góc.,Design,negative,positive,negative → positive,1
"Dung lượng lưu trữ: 128gb 
Nhóm màu: đen trân châu 
Phân loại sản phẩm: 8gb điện thoại bền rớt mấy lần không sao, sài khá mượt, nhưng máy hơi nóng khi lướt những tác vụ nhẹ nhưng mà mỏng nhẹ thì vầy là quá oke",Design,positive,negative,positive → negative,1
"Máy 98% ít xước, đuôi sạc bị mẻ 1 xíu nhưng không ảnh hưởng gì, máy bật 120hz hơi ấm,pin hơi yếu, tốt so với tầm giá",Design,positive,negative,positive → negative,1
"Phiên bản: hàn 1 sim 256gb tính năng:đầy đủ vân tay, face chất lượng:99%, chức năng rất tốt, màn hình có vài vết xước nhỏ, mình đang sử dụng xem pin thế nào sẽ đánh giá sau 
chất liệu: hoàn thiện tốt. 
Điểm trừ: đặt màu xám bản hàn 1 sim 256gb mà cửa hàng giao bản mỹ 2 sim 128gb màu đen. Không tặng kèm ốp lưng dẻo và dán màn hình. Lex Việt Nam giao hàng chậm hơn gh nhanh 1 ngày. Cập nhật sau 5 ngày sử dụng: check pin còn 88-89% cỡ 4250-4300 ma. Với giá như vậy thì chấp nhận được.",Design,positive,negative,positive → negative,2
"máy y như mới, keng không một vết xước. nhìn kỹ thì viền màn có dấu keo, để lâu trong túi quần thỉnh thoảng có vầng vàng",Design,positive,negative,positive → negative,1
"Chất lượng sản phẩm: khá tốt 
Đúng với mô tả: có mình thấy máy sử dụng ở mức tốt trong tầm giá, nhưng mà chỉ nên sử dụng 1 trình duyệt ví dụ chỉ call mess và không được làm gì khác vì máy sẽ chậm. máy đôi khi bị chớp màn, trong khoảng 1-2s. dung lượng pin tốt. nếu nhu cầu là 1 con máy rẻ, sử dụng khá tốt thì con này đáp ứng được",Display,negative,positive,negative → positive,2
Máy khá là đẹp với giá nhà là quá tốt. cảm ơn cửa hàng nhiều. Cái này là cái thứ 2. Đầu tiên mua px6 hơi trầy màn hình nhưng dán cường lực thì cũng được.,Display,negative,positive,negative → positive,1
"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb dung lượng lưu trữ đủ sử dụng., chất lượng camera ấn tượng!, độ phân giải màn hình tuyệt vời.,",Display,negative,positive,negative → positive,1
"Phân loại sản phẩm: s7 - màn hình đẹp máy ám ảnh mà để màn hình đẹp, chịu luôn:)",Display,negative,positive,negative → positive,1
"Đúng với mô tả: cửa hàng giao không đúng hàng đã nhận được hàng, cửa hàng thay đổi cấu hình của máy, con này là oppo a9 độ phân giải màn hình là 720 ×1600 còn oppo f11 độ phân giải là 1800 × 2340 cho cửa hàng 3 sao",Display,neutral,negative,neutral → negative,1
Máy bị giả cấu hình pin 3000 mà nó nói 40000 chip cũng không mạnh máy nhanh nóng đây là máy dựng nóng quá nó sập nguồn với nó cái app ẩn hay sao mà để không dự liệu cũng chạy rất nhiều. Màn hình tốt,Display,positive,negative,positive → negative,2
không biết hàng onl với hàng ngoài store có giống nhau không mà mua onl sử dụng hôm trước hôm sau nè các bác:))) để điện thoại trong túi quần lôi ra cái như này ạ. Không hề làm rơi vì vừa mua sử dụng chưa được 1 ngày giữ như gì luôn. Như hàng mã vậy trờiiii,General,negative,neutral,negative → neutral,1
Máy bị giả cấu hình pin 3000 mà nó nói 40000 chip cũng không mạnh máy nhanh nóng đây là máy dựng nóng quá nó sập nguồn với nó cái app ẩn hay sao mà để không dự liệu cũng chạy rất nhiều. Màn hình tốt,General,negative,positive,negative → positive,2
"Tính năng nổi bật: lock sim:)) 
Chất lượng sản phẩm: ổn tầm 90% 
Đúng với mô tả: đúng thề chứ đặt sốp con này t2 rồi trước là blackshark helo thấy ổn phết nay đặt tiếp cửa hàng làm thất vọng quá cửa hàng cho em con máy màn xước ác thật phần màn hình dưới loa xước thấy thương mà nghỉ lại thì máy cũ nên thôi vẫn 5☆ nha định vote 4☆ rồi đấy",General,negative,positive,negative → positive,1
"Chất lượng sản phẩm: bình thường 
Đúng với mô tả: không mới mua về chưa bao lâu pin phù, dở",General,neutral,negative,neutral → negative,1
"Hàng chính hãng của nhà sản xuất thì khỏi phải chê rồi, phải dùng hết chức năng mới biết hàng có bị lỗi gì không",General,neutral,positive,neutral → positive,1
"Màu sắc: bạc 
Phân loại: fullbox mới nhận hàng, Máy cài sẵn mimui13",General,neutral,positive,neutral → positive,1
Phân loại sản phẩm: 8/128 đen hhhgg,General,neutral,positive,neutral → positive,1
"Sản phẩm đúng với mô tả, bê ngoài 99%, máy chức năng đây đủ. Bộ phụ kiện tặng có đầy đủ.",General,neutral,positive,neutral → positive,1
Tới hiện tại chạy vẫn ổn chưa có vấn đề,General,neutral,positive,neutral → positive,1
Sau một khoảng thời gian sử dụng thấy ổn. Không bị lỗi hệ thống. Nhưng bị một lỗi là màn hình đốm trắng ( hơi mờ ). Pin hơn 2400. Giá 570k cũng được.,General,positive,neutral,positive → neutral,1
Uầy cửa hàng gửi cho con máy gần đẹp keng luôn. Nhắn cửa hàng không thích bản docomo cửa hàng gửi cho bản au còn cài sẵn rom qt không app rác luôn. Pin còn 3k1/4k hơi kém tí nhưng chấp nhận được với giá sale ntn,General,positive,neutral,positive → neutral,2
"mua hổm rầy mua, phải sử dụng 1 tuần rồi mới dám đánh giá, máy rất đẹp, đúng như mô tả, chắc chắn sẽ ghé lại cửa hàng vào dịp tới khi mua cái nữa. cho cửa hàng 5 sao",General,positive,neutral,positive → neutral,1
Đúng với mô tả: đúng máy còn rất mới độ bền thì chưa biết ra sao.,General,positive,neutral,positive → neutral,1
"Màu sắc: hồng ram/bộ nhớ: ram 8g/128g giao nhầm màu nhưng màu này cũng đẹp máy còn mới, trơn tru loa thoại nhỏ cửa hàng hỗ trợ nhiệt tình",Packaging,negative,positive,negative → positive,1
giao hàng nhanh. đóng gói ẩu không có chống sốp. chất lượng hàng phù hợp giá tiền.,Packaging,negative,positive,negative → positive,1
Chất lượng sản phẩm phần mềm nhiều quảng cáo trải nghiệm tệ. Đúng với mô tả không thông báo có quảng cáo sẵn. Tính năng nổi bật hiệu năng chịu ảnh hưởng quảng cáo lag. Review máy tích hợp app rác pop up quảng cáo làm chậm thiết bị. Pin tụt nhanh hơn bình thường. Đóng gói tốt nhưng phụ kiện thiếu. Chăm sóc khách hàng lúng túng không rõ ràng chính sách đổi trả,Packaging,positive,negative,positive → negative,1
"Chất lượng sản phẩm: apple iphone 16 pro max chất lượng tuyệt vời 
Tính năng nổi bật: tính năng nổi bật thì khỏi phải bàn 
Đúng với mô tả: đúng với mô tả sản phẩm giao đến sản phẩm hộp ngoài bị móp méo không có nguyên vẹn đẹp, và khui mở ra thì bọc kĩ nhưng hộp iphone nó cũng móp méo. nên cũng sợ khi mở ra điện thoại bị trầy xước cấn móp",Packaging,positive,negative,positive → negative,1
"Hàng oke, đóng gói ổn nhưng thà như ở bình thuận thì xuất từ kho bình thuận sẽ mau hơn, chứ tận long an thì hơi bất tiện. Mong hệ thống ghi nhận ý kiến hơn",Packaging,positive,negative,positive → negative,1
Mỗi tội phải chờ lâu.Từ Nghệ An ra Hà Nội mà cả tuần mới nhận được.Khâu đóng gói và gửi đi cũng lâu.Khâu vận chuyển và giao hàng cũng rất lâu.Khi nhận hàng không được đồng kiểm cũng khá căng và cân não.Chấp nhận xuống tiền nhưng nhờ anh giao hàng quay video để có gì còn khiếu nại được.May quá cửa hàng đóng hàng ok luôn.cảm ơn cửa hàng nhiều.,Packaging,positive,negative,positive → negative,1
Review sau vài cập nhật máy vẫn còn lỗi app hay lag. Pin vẫn ổn nhưng hiệu năng nhiều khi treo. Đóng gói tốt nhưng vận chuyển lâu. Chăm sóc khách hàng mất thời gian không chịu trách nhiệm rõ ràng,Packaging,positive,negative,positive → negative,2
hàng nguyên seal. nhưng yêu cầu xuất hoá đơn lại thì nhất quyết không xuất. 5 sao sản phẩm. 1 sao hỗ trợ.,Packaging,positive,negative,positive → negative,1
"Đã nhận hàng bọc cẩn thận, nguyên seal, màu điện thoại không đẹp lắm. cam chụp tạm được, sử dụng 1 thời gian xem có ok không rồi phản hồi lại sau",Packaging,positive,negative,positive → negative,2
"Hàng được giao tới, phụ kiện bên trong đủ.",Packaging,positive,neutral,positive → neutral,1
"Chất lượng sản phẩm: khá tốt 
Đúng với mô tả: có mình thấy máy sử dụng ở mức tốt trong tầm giá, nhưng mà chỉ nên sử dụng 1 trình duyệt ví dụ chỉ call mess và không được làm gì khác vì máy sẽ chậm. máy đôi khi bị chớp màn, trong khoảng 1-2s. dung lượng pin tốt. nếu nhu cầu là 1 con máy rẻ, sử dụng khá tốt thì con này đáp ứng được",Performance,negative,positive,negative → positive,2
Lướt mạng xã hội tốt. Còn game độ phân giải thấp thì tốt độ phân giải cao như liên quân thì không được nhé,Performance,negative,positive,negative → positive,1
"Lần đầu tiên mua điện thoại trên sọp pe, mình check giá ngoài tgdđ thì thấy tầm 2tr9, lên live săn chỉ có 2.024.000🐟, khi nhận cũng hồi hộp lắm về mở ra xem thì thấy đúng hàng new đàng hoàng đầy đủ phụ kiện, cửa hàng có gói chống sốc niêm phong rất uy tín, do mua làm điện thoại phụ nên tầm 2 củ là đủ sử dụng, tuy có hơi lag khi vào ứng dụng nhưng giá này không đòi hỏi với gì thêm vì dung lượng tận 128gb, lướt bình thường nhắn mess tốt hợp cho phụ huynh sử dụng, lúc call video có hơi lag với không nghe rõ",Performance,negative,positive,negative → positive,1
"Màu sắc: đen 
Phân loại: likenew 99% sau hơn 20 ngày sử dụng đây là một số lưu ý. Dành cho mọi người nếu quyết định mua máy này mọi tính năng về mạng xã hội tốt nghe gọi tốt ngày đầu tiên mới mua ấy nó sẽ bị hơi lag nhưng mà sử dụng hơn một tuần nó sẽ tối ưu sẽ mượt. Còn về phần chơi game nếu như chơi liên quân bật mắc nó sẽ hơi ấm nhẹ thôi. Còn về phần pin chơi game nếu mà chơi liên tục thì cũng từ 4 đến 5 tiếng. Còn về phần ngoại hình của máy thì trong thời gian mình sử dụng có một vấn đề nho nhỏ nhưng mà cửa hàng cũng đã hỗ trợ giải quyết xong nhưng mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải trí chụp ảnh tốt không có vấn đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng giá hơn mọi người mua về nghe gọi mạng xã hội chụp ảnh thì hết bài rồi",Performance,negative,positive,negative → positive,3
"mua máy phải đổi lần 2 mới tạm ổn, máy chạy chậm lắm mặc dù cấu hình cao (như ảo ấy), lỗ sạc là sử dụng đầu sạc cũ trước cả đầu c á, sạc pin vào rất lâu. thôi sử dụng tạm để học tập. cửa hàng thì phục vụ cực kì nhiệt tình, giao hàng cũng nhanh nhẹn, gói hàng cũng kỹ, có phiếu bảo hành.",Performance,negative,positive,negative → positive,2
Chất lượng sản phẩm: không được vui sản phẩm: sản phẩm không như mô tả mình không hi vọng ở máy 1 triệu mặc dù máy giất mượt và tạm tạm nhưng cửa hàng lại lừa mình sản phẩm 256 gb sau khi mình kiểm tra thấy mấy đã. kick 256 gb còn ram tht chỉ có 128 gb mình hi vọng cửa hàng đưa ra lời giải thích,Performance,positive,negative,positive → negative,1
"pin chai rất nhanh. chỉ còn 85% sau 5 tháng. tuổi thọ pin ngắn. pin tụt quá nhanh, dùng chưa được 5 tháng đã thấy kém hẳn rồi. chăm sóc khách hàng bảo là do cách dùng. hiệu năng tạm được",Performance,positive,negative,positive → negative,1
Chất lượng sản phẩm: hiệu năng ở mức tạm được cho các tác vụ hàng ngày. Pin dùng cũng cũng được trong một ngày làm việc nhẹ.,Performance,positive,neutral,positive → neutral,2
"Giá tại cửa hàng mình mua làm mình hơi ngộp, mình cảm giác như bị “chịu giá” hơn là được giá tốt.",Price,negative,positive,negative → positive,1
"Điện thoại dùng ngon, săn sale nhưng giá chưa ổn lắm, tuy nhiên giao nhanh hơn dự kiến. Ảnh và video mang tính nhận xu",Price,negative,positive,negative → positive,1
"Màu sắc: đen 8g/128g máy có vẻ đang thay lưng hơi ộp ẹp, lưng hàng lô nên hơi lởm, nhưng giá cũng tạm",Price,neutral,positive,neutral → positive,1
"Chất lượng sản phẩm: kém 
Đúng với mô tả: không 
Tính năng nổi bật: không lên với giá tiền này thì mình không đòi hỏi nhiều 😗😆😆 mua rẻ thì cũng hên sui xác định bật được 15 phút xong khỏi lên luôn sạc pin không lên nguồn luôn cửa hàng nên làm ăn lại mình cũng không yêu cầu hoàn trả nhưng làm ăn không có tâm hihi mọi người cân nhắc trước khi mua",Price,positive,negative,positive → negative,1
"Chất lượng sản phẩm: tệ 
Đúng với mô tả: quá tệ 
Tính năng nổi bật: không điện thoại sạc pin được thì ai nói gì, rẻ nên không đòi hỏi, đằng này tặng sạc hư thà đừng tặng, điện thoại thì sạc không dô pin, bán kiểu không có tâm, cũng dẹp sớm à.",Price,positive,negative,positive → negative,1
"giao hàng nhanh, có mỗi máy không, không có phụ kiện gì kèm theo, sử dụng được trong tầm giá. tiền nào của ấy 😅",Price,positive,neutral,positive → neutral,1
"Chuẩn bị nhanh, shopee giao hàng chậm. Đóng gói sản phẩm tốt, đủ số lượng. Sản phẩm đúng thông tin mô tả. Hài lòng.",Shipping,negative,positive,negative → positive,1
"Tính năng nổi bật: đóng gói cẩn thận 
Đúng với mô tả: đúng 
Tài xế giao hàng chụp hình cccd của tôi trong khi quy trình chỉ cần xuất trình cccd thôi.",Shipping,negative,positive,negative → positive,1
Đóng gói cẩn thận. Giao hàng chưa nhanh lắm. Sản phẩm đúng mô tả. Chưa biết có tốt như quảng cáo không. Được giảm giá nên giá tốt,Shipping,negative,positive,negative → positive,1
"Đúng với mô tả: đúng mô tả. 
Tính năng nổi bật: rẻ tốt. mua rất nhiều điện thoại.mua 2 cái 2 tiệm mà tiệm này giao hành không có hộp mất thẩm mỹ quá.còn máy thì chưa rõ do mua sài thấy tốt nên mua thủ chỗ này ship về thấy không thích cho lắm",Shipping,negative,positive,negative → positive,1
"Nhóm màu: đen 
Dung lượng lưu trữ: 128gb mua điện thoại qua ứng dụng lazada lần đầu nhưng rất hài lòng về chất lượng. Thời gian giao hàng hơi lâu nhưng cũng xứng đáng để chờ. Nên mua nhé mọi người👍",Shipping,positive,negative,positive → negative,1
"Phân loại sản phẩm: máy likenew 99% lần đầu mua hàng giá trị cao cũng hơi rén nhưng nhận hàng tốt, nguyên seal, máy mới toanh, đẹp. Hết màu xanh nên cửa hàng gửi bù cho full box màu đen, nhận hàng siêu ưng, giao vào tphcm tầm 4 ngày đúng dự kiến.",Shipping,positive,negative,positive → negative,1
Sản phẩm đóng gói cẩn thận đúng hàng chính hãng nhưng không có đơn vị nhập khẩu không biết bảo hành sao,Shop_Service,negative,neutral,negative → neutral,1
chăm sóc khách hàng đưa ra hướng dẫn chung chung,Shop_Service,negative,neutral,negative → neutral,1
"Lần đầu mua điện thoại trên đây săn được voucher 3 triệu, giảm còn 23tr550k. cửa hàng gói hàng chắc chắn, tem niêm phong rõ ràng, có cái cửa hàng trả lời tin nhắn khách hơi chậm nhớ khắc phục lại nhé. '-'",Shop_Service,negative,positive,negative → positive,1
"Nhóm màu: đen hàng nhận đúng yêu cầu, oke. hàng 99% nên chỉ có máy và sạc. nói chung là ổn trong tầm giá. bảo hành 6 tháng mà không bảo hành nguồn, với màn hình là hơi lo.. đang test máy xem thế nào.",Shop_Service,negative,positive,negative → positive,1
"điện thoại mới, chế độ bảo hành 12th. qua thời gian sử dụng điện thoại bắt sóng yếu nghe lúc được lúc không. bắt sóng yếu siều. thất vọng tràn trề.",Shop_Service,neutral,negative,neutral → negative,1
"Phiên bản: bản 2 sim 
Dung lượng lưu trữ: 256gb mình đặt máy 256gb. Cửa hàng gửi máy chỉ có 128gb. Yêu cầu cửa hàng đổi máy gấp. Sau khi làm việc với cửa hàng mình tốt rồi nhé",Shop_Service,positive,negative,positive → negative,1
"Sản phẩm: sản phẩm không như mô tả làm ăn vớ vẩn. Hàng giao không đúng mô tả. Có video mở hàng đầy đủ. Có liên hệ cửa hàng ngay sau khi mở gói hàng. Cửa hàng đồng ý cho trả hàng. Có quay video đóng gói hàng. Chờ lâu không thấy shiper lấy hàng. Đến khi có đơn hàng mới, yêu cầu shiper mang hàng về thì không mang",Shop_Service,positive,negative,positive → negative,1
