sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
"pin 5000mah, giá cả tương xứng với cấu hình.",Battery,neutral,positive,neutral → positive
Review sau vài cập nhật máy vẫn còn lỗi app hay lag. Pin vẫn ổn nhưng hiệu năng nhiều khi treo. Đóng gói tốt nhưng vận chuyển lâu. Chăm sóc khách hàng mất thời gian không chịu trách nhiệm rõ ràng,Battery,positive,negative,positive → negative
"Máy đẹp, pin khoẻ, bên hay không thì phải sử dụng một thời gian mới biết được",Battery,positive,neutral,positive → neutral
hàng nguyên seal. nhưng yêu cầu xuất hoá đơn lại thì nhất quyết không xuất. 5 sao sản phẩm. 1 sao hỗ trợ.,Packaging,positive,negative,positive → negative
"Hàng được giao tới, phụ kiện bên trong đủ.",Packaging,positive,neutral,positive → neutral
Review sau vài cập nhật máy vẫn còn lỗi app hay lag. Pin vẫn ổn nhưng hiệu năng nhiều khi treo. Đóng gói tốt nhưng vận chuyển lâu. Chăm sóc khách hàng mất thời gian không chịu trách nhiệm rõ ràng,Packaging,positive,negative,positive → negative
Mỗi tội phải chờ lâu.Từ Nghệ An ra Hà Nội mà cả tuần mới nhận được.Khâu đóng gói và gửi đi cũng lâu.Khâu vận chuyển và giao hàng cũng rất lâu.Khi nhận hàng không được đồng kiểm cũng khá căng và cân não.Chấp nhận xuống tiền nhưng nhờ anh giao hàng quay video để có gì còn khiếu nại được.May quá cửa hàng đóng hàng ok luôn.cảm ơn cửa hàng nhiều.,Packaging,positive,negative,positive → negative
Chất lượng sản phẩm phần mềm nhiều quảng cáo trải nghiệm tệ. Đúng với mô tả không thông báo có quảng cáo sẵn. Tính năng nổi bật hiệu năng chịu ảnh hưởng quảng cáo lag. Review máy tích hợp app rác pop up quảng cáo làm chậm thiết bị. Pin tụt nhanh hơn bình thường. Đóng gói tốt nhưng phụ kiện thiếu. Chăm sóc khách hàng lúng túng không rõ ràng chính sách đổi trả,Packaging,positive,negative,positive → negative
Đúng với mô tả: đúng máy còn rất mới độ bền thì chưa biết ra sao.,General,positive,neutral,positive → neutral
"Tính năng nổi bật: lock sim:)) 
Chất lượng sản phẩm: ổn tầm 90% 
Đúng với mô tả: đúng thề chứ đặt sốp con này t2 rồi trước là blackshark helo thấy ổn phết nay đặt tiếp cửa hàng làm thất vọng quá cửa hàng cho em con máy màn xước ác thật phần màn hình dưới loa xước thấy thương mà nghỉ lại thì máy cũ nên thôi vẫn 5☆ nha định vote 4☆ rồi đấy",General,negative,positive,negative → positive
"Chất lượng sản phẩm: bình thường 
Đúng với mô tả: không mới mua về chưa bao lâu pin phù, dở",General,neutral,negative,neutral → negative
Sau một khoảng thời gian sử dụng thấy ổn. Không bị lỗi hệ thống. Nhưng bị một lỗi là màn hình đốm trắng ( hơi mờ ). Pin hơn 2400. Giá 570k cũng được.,General,positive,neutral,positive → neutral
không biết hàng onl với hàng ngoài store có giống nhau không mà mua onl sử dụng hôm trước hôm sau nè các bác:))) để điện thoại trong túi quần lôi ra cái như này ạ. Không hề làm rơi vì vừa mua sử dụng chưa được 1 ngày giữ như gì luôn. Như hàng mã vậy trờiiii,General,negative,neutral,negative → neutral
"giao hàng nhanh, có mỗi máy không, không có phụ kiện gì kèm theo, sử dụng được trong tầm giá. tiền nào của ấy 😅",Price,positive,neutral,positive → neutral
"Điện thoại dùng ngon, săn sale nhưng giá chưa ổn lắm, tuy nhiên giao nhanh hơn dự kiến. Ảnh và video mang tính nhận xu",Price,negative,positive,negative → positive
"Giá tại cửa hàng mình mua làm mình hơi ngộp, mình cảm giác như bị “chịu giá” hơn là được giá tốt.",Price,negative,positive,negative → positive
"Chất lượng sản phẩm: tệ 
Đúng với mô tả: quá tệ 
Tính năng nổi bật: không điện thoại sạc pin được thì ai nói gì, rẻ nên không đòi hỏi, đằng này tặng sạc hư thà đừng tặng, điện thoại thì sạc không dô pin, bán kiểu không có tâm, cũng dẹp sớm à.",Price,positive,negative,positive → negative
"Màu sắc: đen 8g/128g máy có vẻ đang thay lưng hơi ộp ẹp, lưng hàng lô nên hơi lởm, nhưng giá cũng tạm",Price,neutral,positive,neutral → positive
pin hơi hẻo sử dụng được hơn 3h một tí màn hình bị ám một vạch nền xanh trắng mới thấy rõ. Camera chụp đẹp nên mua nha mọi người,Camera,positive,negative,positive → negative
"Màu sắc: đen 
Phân loại: likenew 99% sau hơn 20 ngày sử dụng đây là một số lưu ý. Dành cho mọi người nếu quyết định mua máy này mọi tính năng về mạng xã hội tốt nghe gọi tốt ngày đầu tiên mới mua ấy nó sẽ bị hơi lag nhưng mà sử dụng hơn một tuần nó sẽ tối ưu sẽ mượt. Còn về phần chơi game nếu như chơi liên quân bật mắc nó sẽ hơi ấm nhẹ thôi. Còn về phần pin chơi game nếu mà chơi liên tục thì cũng từ 4 đến 5 tiếng. Còn về phần ngoại hình của máy thì trong thời gian mình sử dụng có một vấn đề nho nhỏ nhưng mà cửa hàng cũng đã hỗ trợ giải quyết xong nhưng mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải trí chụp ảnh tốt không có vấn đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng giá hơn mọi người mua về nghe gọi mạng xã hội chụp ảnh thì hết bài rồi",Camera,negative,positive,negative → positive
"Đã nhận được hàng khung và camera sau xước 4-5 vết chỉ được 90% thôi nhưng cũng ổn với 1 máy có giá 2,1 triệu",Camera,positive,negative,positive → negative
Camera chụp ảnh tốt nhưng chơi game thì lại giật lag nhiều.,Camera,positive,negative,positive → negative
"Nhóm màu: màu tím than nói chung là tốt chỉ camera sau đã bị mờ máy cũ đã qua sử dụng phải chấp nhận thôi, sẽ tiếp tục ủng hộ lần sau nếu có nhu cầu cảm ơn cửa hàng tặng 5 sao",Camera,neutral,negative,neutral → negative
"máy dễ sử dụng, pin trâu. chạy nhạc nguyên ngày chưa hết tới 50% pin. không thích cái nhãn dán ở lưng, khó bóc và xấu.",Design,negative,positive,negative → positive
Đã nhận hàng đầy đủ. Đóng gói cẩn thận. Máy hơi xước viền nhưng nhìn chung khá tốt và hài lòng. Chưa biết độ bền ntn. Hình ảnh mang tính chất nhận xu!,Design,negative,positive,negative → positive
"máy y như mới, keng không một vết xước. nhìn kỹ thì viền màn có dấu keo, để lâu trong túi quần thỉnh thoảng có vầng vàng",Design,positive,negative,positive → negative
"Máy 98% ít xước, đuôi sạc bị mẻ 1 xíu nhưng không ảnh hưởng gì, máy bật 120hz hơi ấm,pin hơi yếu, tốt so với tầm giá",Design,positive,negative,positive → negative
"Máy chất lượng ạ. Chuẩn hàng 99. Chỉ xước nhẹ vài đường ở mặt lưng và quanh phần lỗ sạc. cửa hàng gửi hàng nhanh, tư vấn nhiệt tình.",Design,negative,positive,negative → positive
"Phân loại sản phẩm: s7 - màn hình đẹp máy ám ảnh mà để màn hình đẹp, chịu luôn:)",Display,negative,positive,negative → positive
"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb dung lượng lưu trữ đủ sử dụng., chất lượng camera ấn tượng!, độ phân giải màn hình tuyệt vời.,",Display,negative,positive,negative → positive
Máy khá là đẹp với giá nhà là quá tốt. cảm ơn cửa hàng nhiều. Cái này là cái thứ 2. Đầu tiên mua px6 hơi trầy màn hình nhưng dán cường lực thì cũng được.,Display,negative,positive,negative → positive
Máy bị giả cấu hình pin 3000 mà nó nói 40000 chip cũng không mạnh máy nhanh nóng đây là máy dựng nóng quá nó sập nguồn với nó cái app ẩn hay sao mà để không dự liệu cũng chạy rất nhiều. Màn hình tốt,Display,positive,negative,positive → negative
"Đúng với mô tả: cửa hàng giao không đúng hàng đã nhận được hàng, cửa hàng thay đổi cấu hình của máy, con này là oppo a9 độ phân giải màn hình là 720 ×1600 còn oppo f11 độ phân giải là 1800 × 2340 cho cửa hàng 3 sao",Display,neutral,negative,neutral → negative
Đóng gói cẩn thận. Giao hàng chưa nhanh lắm. Sản phẩm đúng mô tả. Chưa biết có tốt như quảng cáo không. Được giảm giá nên giá tốt,Shipping,negative,positive,negative → positive
"Chuẩn bị nhanh, shopee giao hàng chậm. Đóng gói sản phẩm tốt, đủ số lượng. Sản phẩm đúng thông tin mô tả. Hài lòng.",Shipping,negative,positive,negative → positive
"Tính năng nổi bật: đóng gói cẩn thận 
Đúng với mô tả: đúng 
Tài xế giao hàng chụp hình cccd của tôi trong khi quy trình chỉ cần xuất trình cccd thôi.",Shipping,negative,positive,negative → positive
"Nhóm màu: đen 
Dung lượng lưu trữ: 128gb mua điện thoại qua ứng dụng lazada lần đầu nhưng rất hài lòng về chất lượng. Thời gian giao hàng hơi lâu nhưng cũng xứng đáng để chờ. Nên mua nhé mọi người👍",Shipping,positive,negative,positive → negative
"Phân loại sản phẩm: máy likenew 99% lần đầu mua hàng giá trị cao cũng hơi rén nhưng nhận hàng tốt, nguyên seal, máy mới toanh, đẹp. Hết màu xanh nên cửa hàng gửi bù cho full box màu đen, nhận hàng siêu ưng, giao vào tphcm tầm 4 ngày đúng dự kiến.",Shipping,positive,negative,positive → negative
