data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
hàng nguyên seal đập_hộp . đẹp . ngon . giá quá rẻ so với mua ngoài cửa_hàng . có nhu_cầu mua tiếp sẽ mua của cửa_hàng,,,,,,Positive,Positive,,,,
thấy sản_phẩm tốt nhưng_mà bấm không cảm_ứng mượt và theo giá thì giảm thêm một_tí là giá tốt khoảng 120 hoặc hơn 150 tí thôi .,,,,,,,,,,Neutral,
"Nhóm màu : ứng_dụng gọi điện_thoại sử_dụng không được , không nhận thấy sóng .",,,,,,,,,,Negative,
Màn_hình hiển_thị ở mức_độ chấp_nhận được cho công_việc văn_phòng .,,,,Neutral,,,,,,,
"mặt lưng nhám , màn_hình 120hz mượt được dán sẵn bảo_vệ , đầy_đủ phụ_kiện cáp , sạc , ốp lưng . pin trâu , viền mỏng trong phân khúc giá , camera chống cháy , xử_lý lâu_lâu có giật lag tuy_nhiên không_thể đòi_hỏi quá cao cho chiếc điện_thoại dưới 4tr được",Positive,Positive,,Positive,Positive,,Positive,,,,
"lừa_đảo , vừa_qua 15 ngày là sập , không lên hình luôn",,,,,,,,,,Negative,
"điện_thoại oppo a74 8 g / 256 g mua có khuyến_mãi giá 1tr750k . điện_thoại không hộp , bọc bằng nilon , ngoại_hình còn rất đẹp , có dán màn_hình và ốp silicon trong suốt . máy sử_dụng 1 tuần thì thấy chạy ổn_định , các tác_vụ mượt . có vài điểm không vừa_ý là cam chụp chỉ tàm_tạm , bộ_nhớ_trong chỉ 128mb .",,Positive,Positive,,Positive,,Positive,,,,
Chất_lượng sản_phẩm : tốt Đúng với mô_tả : đúng Tính_năng nổi_bật : tốt,,,,,,,,,,Positive,
"bong sơn thiếu minh_bạch lỗi micro . gọi điện người ta nghe không rõ , như đang ở trong hang_động vậy . ,",,,,,Negative,,,,,,
"Nhận hàng cảm_thấy oke nha rất hài_lòng , nói_chung mua online vớ được giá hời như này mà chất_lượng tốt như này thì không còn gì bàn_cãi , vote cửa_hàng 5 sao nhe",,,,,,,Positive,,,,
"Nhóm màu : đen Dung_lượng lưu_trữ : 16gb  Thời_lượng pin : 2000 mah ,",Neutral,,,,,,,,,Neutral,
"Đúng với mô_tả : đúng Chất_lượng sản_phẩm : tốt Tính_năng nổi_bật : nghe gọi điện_thoại nokia 6310 ( 2025 ) hỗ_trợ sóng 4g màn_hình đẹp loa to rõ_ràng bảo_hành 12 tháng đã mua lần 2 sử_dụng tốt sóng khoẻ , pin hơi yếu chút , giao hàng nhanh , đóng_gói cẩn_thận",Negative,,Positive,,,Positive,,Positive,Positive,Positive,
"Máy nhẹ , giao hàng nhanh . Hàng Xiaomi ngon bổ rẻ ",,,,,Positive,,Positive,,Positive,,
"Lần đầu mua món đồ giá_trị lớn cũng hồi_hộp không biết có an_toàn không . Khi nhận hàng thì mọi thứ ok hết , đóng_gói tốt , hàng bên trong không bị cấn móp gì . Hàng chính hãng thì cứ tự_tin đặt mua nhé .",,,,,,Positive,,,,Positive,
Sản_phẩm OK đấy . Hình_ảnh không liên_quan chỉ mang tính_chất nhận xu,,,,,,,,,,Positive,
"Màu_sắc : bạc Phân_loại : nguyên seal hàng nhận được , nguyên và đúng như miêu_tả , mọi thứ mới_tinh . đang sử_dụng thấy tốt . không biết thời_gian sau sẽ như_thế_nào . cảm_ơn cửa_hàng . shipper vui_vẻ .",,,,,,Positive,,,Positive,Positive,
"Màu_sắc : bạc Phân_loại : nguyên seal cũng may biết đến cửa_hàng này bán hàng chất_lượng giá còn tốt nữa chứ , mấy cửa_hàng kia thì mình không biết sao nhưng giá lại vô_cùng cao nên cũng khá quan_ngại",,,,,,Positive,Positive,,,Positive,
"Nhóm màu : blue giao hàng nhanh , bọc cẩn_thận",,,,,,Positive,,,Positive,,
Hiệu_năng chậm kết_nối bluetooth . Đóng_gói thiếu dây buộc lỏng_lẻo . Chăm_sóc khách_hàng chat bị lag không đọc tin .,,,,,,Negative,,Negative,,,
"Tính_năng nổi_bật : tệ máy những ngày đầu thì sạc chậm sau đó bị loạn nút nguồn 1 thời gian bị nhảy cảm ứng vì đã bán được điện_thoại ghẻ với giá ngon hơn nên không trả , 1 sao",Negative,,,,,,Positive,,,,
"Đthoai đẹp , như ảnh minh_hoạ",,,,,Positive,,,,,,
"tư_vấn ship nội_thành hn 2-3 ngày nhận kết_quả đặt t2 tuần trước đến t2 tuần tới mới giao , chắc lần cuối mua onl ở đây",,,,,,,,Negative,Negative,,
"Hình_ảnh chỉ mang tính_chất nhận xu , mua dùm , nên không biết sử_dụng ra sau , người đang sài kêu máy chạy mượt . Có gì sẽ đánh_giá tiếp .",,,Positive,,,,,,,,
Loa âm_thanh nghe bé cửa_hàng có tư_vấn giúp được mình như nào không,,,,,,,,Neutral,,,
"Đúng với mô_tả : đúng Chất_lượng sản_phẩm : rất tốt Tính_năng nổi_bật : gaming , giao nhanh , tư_vấn nhiệt_tình , shipper thân_thiện , sản_phẩm tốt . cửa_hàng uy_tín nha mọi người , mọi người có ý_định mua thì nên mua cửa_hàng này nha rất uy_tín ạ 5 sao cho cửa_hàng ạ",,,,,,,,Positive,Positive,Positive,
"Tính_năng nổi_bật : giá rẻ Đúng với mô_tả : máy giống như mô_tả Chất_lượng sản_phẩm : sử_dụng tốt , nghe gọi rõ_ràng . máy mới , pin sạc sử_dụng tốt , màn_hình rộng thoải_mái . máy cài nhiều game . cửa_hàng bán uy_tín , giá rẻ",Positive,,,Positive,,,Positive,,,,
Nhóm màu : trắng Thời_lượng pin : pin sạc không vào bảo_hành ... Hành người mua là chính . Không thật đâu nhe moi người,Negative,,,,,,,Negative,,,
Hiệu_năng xử_lý các ứng_dụng văn_phòng ở mức chấp_nhận được .,,,Neutral,,,,,,,,
Tính_năng nổi_bật : đúng hàng Chất_lượng sản_phẩm : tốt trong tầm giá Đúng với mô_tả : oke giao hàng nhanh .,,,,,,,Positive,,Positive,,
Hàng sử_dụng tốt máy mượt không bị đơ giá_thành rẻ mọi người nên mua .,,,Positive,,,,Positive,,,,
"Color family : color random sản_phẩm : mình đã nhận máy rồi nha cửa_hàng yêu ơi . máy rất là mới_cứng cáp full mọi chức_năng nha , mình đã test qua thì tốt lắm , chụp hình , coi phim , nghe nhạc rõ nét lắm giá_cả thì cũng vừa túi_tiền . nói_chung không mong hơn gì được nữa với tầm giá_như thế_này mà có được chiếc điện_thoại sử_dụng tốt thì không đòi_hỏi gì hơn được nữa sẽ mua và ủng_hộ cửa_hàng thêm nữa",,Positive,,Positive,Positive,,Positive,,,Positive,
Chưa sử_dụng nên chưa biết về thời_lượng pin .,Neutral,,,,,,,,,,
"tệ_hại toàn bịa_đặt mở ứng_dụng chậm , hay bị crash ,",,,Negative,,,,,,,Negative,
"Sản_phẩm này kém nhé , mọi ng không nên mua tránh hối_hận như tôi , mua được 1 hôm mang đi đổi sản_phẩm mới mất_trắng 1 tr 2 . Máy này kém không đáng tiền",,,,,,,Negative,,,,
"Nhóm màu : xanh đậm dễ sử_dụng , đẹp như trên hình .",,,,,,,,,,Positive,
Hiệu_năng của máy ở mức có_thể đáp_ứng các nhu_cầu sử_dụng thông_thường .,,,Neutral,,,,,,,,
"bèo_nhèo không như camera noise và màu lệch_lạc , đóng_gói lỏng dẫn đến màn_hình xước , pin tụt vèo khi gọi video",Negative,Negative,,Negative,,Negative,,,,,
điện_thoại ngon nhưng có 8gb mà_còn 2gb nữa,,,,,,,,,,Positive,
"Đúng với mô_tả : ✅ Chất_lượng sản_phẩm : ✅ hàng nguyên seal ✅ ngon_lành cành đào ✅tính năng nfc trên này không sao_chép thẻ thang_máy vào được , app gốc wallet bên cái iqooz9 thì add vào sử_dụng vô_tư  5g thì không có cũng không sao máy cầm trên tay rất ư là sướng như hàng flagship ✅",,,,,,,,,,Positive,
Hộp đóng_gói chứa đầy_đủ phụ_kiện theo danh_sách .,,,,,,Neutral,,,,,
Hang không được nhu cửa_hàng quang cao.that vong vi mat thoi gian,,,,,,,,,,Negative,
"Sử_dụng tạm_thời được 3 ngày , khá ngon , pin trâu . Note ngày 4 : xuất_hiện lỗi mất định_vị , đang sử_dụng gg map bình_thường thì không load được gps nữa , phải reset máy mới bật lại được",Positive,,,,,,,,,,
"Chất_lượng sản_phẩm : rác_rưởi Đúng với mô_tả : lừa_đảo trắng_trợn Tính_năng nổi_bật : không có gì nổi_bật máy sử_dụng 1 ngày đã hỏng nguồn , cửa_hàng không chịu trách_nhiệm , tiền_mất_tật_mang giá mắc",,,,,,,Negative,Negative,,,
"Điện_thoại đẹp mình đặt cho bố_mẹ mình dùng , nhưng tràn viền nên bố_mẹ mình dùng thi_thoảng hay chạm viền nên không vuốt được màn  , nói_chung là rất ổn nên mua , cam chụp khá đẹp , cầm nhẹ_tay , màu đen mặt lưng trông lấp_lánh như bầu_trời sao ấy các bác ạ",,Positive,,,Positive,,,,,,
"chất_lượng tốt , giá rẻ nhưng chờ hàng hơi lâu",,,,,,,Positive,,Negative,,
Máy_ảnh rất mờ không chụp hình được điện_thoại hay bị treo máy không đáng với số tiền bỏ ra để mua,,Negative,Negative,,,,Negative,,,,
Em cảm_ơn cửa_hàng nhiều a điện_thoại đẹp ạ ,,,,,Positive,,,,,,
"Pin kém , sạc lúc được lúc không , độ sáng màn_hình thấp , ai mua nên cân_nhắc",Negative,,,Negative,,,,,,,
Màn_hình có kích_thước 6.7 inch và độ_phân_giải Full_HD + .,,,,Neutral,,,,,,,
Màu_sắc : đen Phân_loại sản_phẩm : không sạc máy ổn . nhưng chờ sài thời_gian mới đánh_giá được .,,,,,,,,,,Neutral,
Viền máy lồi_lõm không đều nhìn như hàng lỗi,,,,,Negative,,,,,,
Đúng với mô_tả : đúng Tính_năng nổi_bật : có nhiều tính_năng tiện_ích Chất_lượng sản_phẩm : dòng máy tốt,,,,,,,,,,Positive,
"Máy mới như mới mọi người ạ , sài ok lắm và đây là đánh_giá riêng về em nó 1 . Nào chê pin yếu thì thoii em nó mạnh quá nên nó thế . 2 . màn_hình không khác gì nam_châm bạn nào thích slim nam_châm thì mua con này đúng đáng , về đưa bãi ca s là có đống bụi sắt 3 . Phần_mềm ok chỉ có thuật_toán A.I thì như ptshop 2013 thôi . 4 . Hết rồi",Positive,,Positive,,,,,,,,
"Dỏm khác hẳn nóng ran như lò nướng khi chơi game , hỗ_trợ khách_hàng chậm_chạp thái_độ cộc_lốc , pin hao nhanh dù chỉ lướt web",Negative,,,,,,,Negative,,,
Đợi cửa_hàng giao hàng theo thoả_thuận vướng 2/9 lên hơi lâu .. nhưng tin_tưởng cửa_hàng m yên_tâm đợi .. nhận hàng hôm 3/9 cảm_quan cửa_hàng đóng hàng cẩn_thận .. gói kĩ . Hàng nguyên đai nguyên_bản 100% .. trải_nghiệm tốt m hài_lòng tặng cửa_hàng 5 sao !,,,,,,Positive,,,,,
Đúng với mô_tả : hàng chính hãng ssvn nhé anh_em,,,,,,,,,,Positive,
Màu_sắc : đen Phân_loại : likenew 99% cửa_hàng uy_tín,,,,,,,,,,Positive,
"Đóng hàng kém chắc_chắn , giao sai địa_chỉ . Camera chính thiếu nét ở chế_độ macro , pin sạc chậm .",Negative,Negative,,,,Negative,,,Negative,,
"Thời_lượng pin ở mức trung_bình , dùng tạm được .",Neutral,,,,,,,,,,
"Đúng như đặt_hàng , chất_lượng thì để thời_gian trả_lời ?",,,,,,,,,,Neutral,
Bộ_phận chăm_sóc khách_hàng phản_hồi trong giờ làm_việc .,,,,,,,,Neutral,,,
"Màu_sắc : đen Phân_loại : nguyên seal máy mới không co sạc kèm theo pin khá trâu vi m luot tic tok không may hơi chậm xem youtube và tic tok tốt với gia nay m thay may tốt roi cửa_hàng sale gia cug rẻ . Đang tien phiên_bản quốc_tế tuyệt_vời với khả_năng tương_thích toàn_cầu . , màn_hình tuyệt_vời với tần_số làm mới 90hz . , chất_lượng camera ấn_tượng . ,",,Positive,,Positive,,,Positive,,,,
"ổn nên mua nha mọi người ơi ; mình thấy với mức giá này kh đò hỏi được gì hơn cả . mây đep , mới sử_dụng nên chưa biết thế_nào",,,,,Positive,,Positive,,,,
"đầu_tiên là đẹp , chắc , sang , cấu_hình tương_đối ổn trong tầm giá",,,,,Positive,,Positive,,,,
Hàng chất_lượng nha . Cửa_hàng uy_tín . Shiper thân_thiện giao nhanh . Video nhận xu . Cảm_ơn mọi người nhiều !,,,,,,,,,Positive,,
Màu_sắc : đen Phân_loại : nguyên seal mới lấy thấy cũng khá tốt,,,,,,Positive,,,,Positive,
"Nhóm màu : xám Dung_lượng lưu_trữ : 4g b / 6 4g b hàng đúng như quảng_cáo , hình_thức đẹp , chất_lượng khá so với tầm giá , thời_lượng pin tốt ; cho cửa_hàng 5s",Positive,,,,Positive,,Positive,,,,
Pin sạc pin hay nóng camera màu bị méo đóng_gói sử_dụng túi giấy dễ xé,Negative,Negative,,,,Negative,,,,,
Mình mua cho vui cảm_ơn cửa_hàng máy tạm_thời dùng 2 tiếng test tiếc ookee cảm_ơn cửa hàng.mong không cháy SPU giống con redmi10,,,,,,,,,,Positive,
"Đồ bỏ đi đánh_lừa người mua hao pin kinh_khủng ,",Negative,,,,,,,,,,
Màu_sắc : bạc Phân_loại : nguyên seal dien thoại tốt hàng mới rất tốt ạ,,,,,,,,,,Positive,
"Kém không đúng yếu_kém pin tụt vèo_vèo . Camera mờ như sương_mù . ,",Negative,Negative,,,,,,,,,
"Hàng nguyên seal nhưng đóng_gói không kĩ , hộp bị cấn móp , cũng may không ảnh_hưởng đến máy",,,,,,Negative,,,,,
Máy xài ổn trong tầm tiền . Mình mua cho ba nên không có ảnh .,,,,,,,Positive,,,,
"Nhóm màu : pink Dung_lượng lưu_trữ : 128gb máy tốt chính hãng , giao hàng nhanh_chóng , cho cửa_hàng 5 sao ! ! !  Chất_lượng camera : tốt",,Positive,,,,,,,Positive,,
Chất_lượng hiển_thị và camera sẽ cần thêm thời_gian sử_dụng mới có_thể đưa ra kết_luận .,,Neutral,,Neutral,,,,,,,
"Nhóm màu : pink Dung_lượng lưu_trữ : 128gb dung_lượng lưu_trữ cao , bóng_bẩy và thanh_lịch , màn_hình sống_động , tính_năng sáng_tạo , giá_trị tuyệt_vời cho số tiền bỏ ra ,",,,,Positive,,,Positive,,,,
Máy ổn trong tầm giá !,,,,,,,Positive,,,,
"Hàng nhận được đúng như mô_tả . Chất_lượng tốt . Cám_ơn cửa_hàng đã nhiệt_tình tư_vấn và chăm_sóc khách_hàng rất tốt . Rate 5 sao cho cửa_hàng . Giao hàng quá nhanh , từ quảng_ninh về hn chỉ mất 24h là đã nhận được hàng .",,,,,,,,Positive,Positive,,
"Nhóm màu : desert Dung_lượng lưu_trữ : 256gb bộ_xử_lý mạnh_mẽ và nhanh_chóng , tuổi_thọ pin lâu_dài , giao hàng nhanh_chóng và hiệu_quả , màn_hình lớn với hiển_thị sống_động ,",Positive,,Positive,Positive,,,,,Positive,,
"pin yếu , dùng nửa ngày đã cần sạc . khác với mô_tả về thời_lượng pin . tính_năng sạc nhanh gần như vô_dụng . máy nóng khi chơi game , hiệu_năng giảm , chăm_sóc khách_hàng không giải_quyết",Negative,,Negative,,,,,Negative,,,
"Đúng với mô_tả : tốt Tính_năng nổi_bật : nghe gọi Chất_lượng sản_phẩm : khá tệ • sau vài ngày sử_dụng , cảm_nhận pin tuột rất nhanh , với điện_thoại cục gạch mà nói thì khá tệ về mặt pin , mọi người cân_nhắc trước khi mua",Negative,,,,,,,,,,
Màu_sắc : bạc Phân_loại : nguyên seal máy nguyên seal nha mọi người,,,,,,Positive,,,,,
"Mới nhận , giao hàng nhanh , cảm_quan ban_đầu tốt , tạm ủng_hộ cửa_hàng 5 * , dùng 1 thời_gian sẽ đánh_giá chi_tiết sau",,,,,,,,,Positive,,
"variation 3 : ram 4/6 4g b mình sử_dụng được tuần . máy lướt rất mượt , loa to rõ_ràng . ấp dụng mã giảm_giá 4tr220k mà mua được máy này sài là quá hời luôn ạh",,,Positive,,,,Positive,,,Positive,
Có mực ở màn còn lác không bấm được,,,Negative,Negative,,,,,,,
Chụp chân_dung đẹp lắm .. Máy mượt nghe nhạc hay sạc pin níu để_chế độ bảo_vệ pin thì sạc 1h 20p đầy tất thì sạc nhanh hơn,Positive,Positive,Positive,,,,,,,,
"Màu_sắc : đen mình đã nhạn được hàng , đẹp lắm cửa_hàng ơi , mình rất hài_lòng . Anh shipber rất nhiêtj tình và vô_cùng dễ_thương luôn á cửa_hàng .. mình sẽ ủng_hộ cửa_hàng cho lần ma tiếp_theo ....",,,,,Positive,,,,Positive,,
đóng_gói cẩn_thận đầy_đủ đồ cửa_hàng hỗ_trợ cũng nhiệt_tình,,,,,,Positive,,Positive,,,
Dung_lượng pin đúng như nhà_sản_xuất công_bố .,Neutral,,,,,,,,,,
