sentence,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Giao hàng lâu quá, sản phẩm thì sử dụng hơn 10 ngày nay thấy khá ổn, pin lâu, chụp hình tạm ổn, màn hình hiển thị đôi khi mờ icon mờ chữ, chỉ tiếc không có 5g và nfc",Camera,positive,negative,positive → negative,1
"Màu sắc: Xanh matcha 🔋 
Thời lượng pin: Sử dụng 2 ngày mới hết rất ấn tượng 📸 
Chất lượng camera: Chuẩn 50m đẹp. ⚡ 
Hiệu suất : Lướt mạng xã hội nhanh nói chung nhanh đẹp cấu hình vừa phải chơi game hơi kém nhé bên vận chuyển rất kém hàng móp méo vào cả hộp máy điện thoại... May không sao",Camera,positive,negative,positive → negative,1
"Về hình thức thì máy khá tốt, đã thay mặt lưng. Cam vẫn ổn. Mỗi tội vân tay không nhận ? nhưng thôi tầm 2tr thì vầy cũng rất tốt rồi",Camera,positive,negative,positive → negative,1
"Đã nhận hàng bọc cẩn thận, nguyên sill, màu không đẹp lắm cam chụp tạm được, sử dụng 1 thời gian xem có ok không rồi phản hồi lại sau",Camera,positive,negative,positive → negative,1
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Vân tay dưới màn, cam tốt, loa xịn nhận xét chung là hài lòng. Ngoại hình 8đ, chức năng 10đ. Mình mua để đổi gió nên cũng không yêu cầu cao gì, nhưng mà nhìn qua ngoại hình thì biết là máy đã được tân trang lại rồi, cổng sạc khá tả, con điện thoại mình sử dụng 4 năm rồi mà cổng sạc cũng không tả tơi được như con này, cụm cam thì không xước xát gì nhưng viền quanh cam có vài vết sứt mẻ, nói chung là chủ cũ sử dụng hao vcd. Máy nhận về chạy miui 12.5 không được full tiếng việt, mình có up rom lên miui 14 eu thì thấy đỡ hao pin hơn hẳn. À mà củ sạc cửa hàng gửi kèm sử dụng dây typec-typec mà dây sạc cửa hàng gửi lại là typea-typec nên sử dụng không được =)))",Camera,positive,neutral,positive → neutral,1
"Do đã xem nhiều kênh youtube review về con nubia neo 2 này nên mình không chê gì cả về camera hay màn hình ips hay hiệu năng về máy, game thì qua mấy game nặng về dung lượng và về đồ họa thì mặt lưng máy hơi lóng gắn thêm sò tản nhiệt là tốt",Camera,positive,neutral,positive → neutral,1
"Giao hàng rất nhanh, đóng gói cẩn thận, bọc chống sốc kĩ càng. Cửa hàng có liên lạc để thông báo đổi màu với mình. Trả lời tin nhắn rất nhanh chóng. Máy đẹp keng, hầu như không có vết xước hay dấu vết. Cửa hàng có tặng ốp lưng và đã dán sẵn cường lực. Máy chụp ảnh đẹp, giá tầm trung bình, pin xài được rất lâu và khá mượt. Không hỗ trợ sạc nhanh nha, nhưng sạc 1 lần cũng có thể dùng được 1 ngày luôn rồi. Nói chung là nên mua !",Camera,positive,neutral,positive → neutral,2
Thiết kế của máy đơn giản. Chất lượng ảnh chụp từ camera ở mức tạm được,Camera,positive,neutral,positive → neutral,1
"1. Mình thấy nhiều người rw hệ điều hành này không được tối ưu hoá cho mấy 2. Không biết do máy hay gì nhưng chơi tốc chiến bật được 120fps nhưng mà toàn bị drop xuống 60-75( mặc dù máy rất mát) và 8/256 cũng thi thoảng bị văng game tốc chiến 3. 5g của máy cảm giác cũng không được mượt mà nên mình chỉ sử dụng 4g 4. Máy thì viền nhựa cầm không được sướng tay và dễ bị xước, mặt lưng của máy thì không biết nói sao nhưng cũng tàm tạm 5. Pin của máy là 6000 nhưng cảm giác không được trâu cho lắm 6. Còn mấy thứ còn lại thì tạm ổn( trừ cam nha =))) đây là những gì sau 1 tháng rưỡi mình trải nghiệm con poco x7 pro này",Design,negative,neutral,negative → neutral,2
Cấu hình chơi game mượt không nóng máy led đẹp chỉ chê mỗi cái loa ngoài thiết kế hơi khó chịu khi xoay ngang màn hình chơi game lòng bàn tay sẽ bịt loa...,Design,negative,positive,negative → positive,1
Cửa hàng giao hàng đúng hẹn đóng gói cẩn thận chắc chắn máy có chày xước nhẹ xài ok,Design,negative,positive,negative → positive,1
Hàng đẹp nhưng để dơ quá. Ít ra cũng lau bụi rồi bán cho khách.,Design,negative,positive,negative → positive,1
Nói chung máy 95 ổn vs giá tiền ngoại hình xước xát cũng nhiều bác nào kỹ tính ưa ngoại hình thì lên lấy máy 99 nhé cho đẹp.10 * cho cửa hàng,Design,negative,positive,negative → positive,1
"Săn sale giá tốt, ghn giao vẫn nhanh như mọi khi. Cảm nhận ban đầu như mong đợi nhé cả nhà. Có double tap sáng màn, mượt, phù hợp xài cơ bản, game nhẹ. Máy hơi nặng vì viên pin 6000mah",Design,negative,positive,negative → positive,1
Thật sự khá là bất ngờ vs máy 95 của cửa hàng Màn trc và sau đều không xước Khung viền thì hơi tróc xíu Tuy mất áp nhưng được cái màn không hề bị ám như cửa hàng đã nói trc đó Pin còn dùng khá tốt Test thêm 1 khoảng thời gian nữa xem sao,Design,negative,positive,negative → positive,1
"Đúng với mô tả: Sản phẩm tốt. Có điều khay sim lớn quá, phải kiếm cái vỏ. Quá bất tiện",Design,negative,positive,negative → positive,1
"Điện thoại chất lượng tạm ổn ạ, chủ yếu nghe và gọi thì tốt còn những chức năng khác thì coi là cho có thôi không sài được. Máy cầm nhẹ hều, 100% hàng tung của rồi. Mọi người cân nhắc khi mua kẻo thất vọng ạ, xun lỗi hình ảnh và video không liên quan",Design,neutral,negative,neutral → negative,1
Đã mua lần thứ 2. Nhưng lần trước thì tốt. Lần này cái nút nguồn lỏng lẻo. Nhưng cũng sử dụng tốt,Design,neutral,negative,neutral → negative,1
"Màu sắc: Bạc 
Phân loại: Nguyên seal tính năng: Nguyên seal + sạc 18w hoco chất lượng: Tuyệt vời chất liệu: Mới 100% đẹp ưng ý hoàn toàn đáng mua, camera màu chưa ưng lắm",Design,positive,negative,positive → negative,1
Ngoại hình: Máy cũ trầy xước nhẹ rất là ô sa kê.. Cám ơn cửa hàng nhiều nha...,Design,positive,negative,positive → negative,1
Tiền nào của nấy nhé. Suy nghĩ kỹ khi mua. Nghịch 1 lúc máy ấm lên tý là nó cứ bị vang lung tung. Cho dù mình không làm gì. Ngoại hình thì như mới. Nhưng máy thì quá lag.,Design,positive,negative,positive → negative,1
"Trải nghiệm v70 hơn 2 củ này thì không phê. Thiết kế khá đẹp, nhẹ tay. Phù hợp những người nhu cầu ít dùng công nghệ. 2 sim có khe thẻ nhớ ngoài. Tôi mong đợi nhiều hơn nữa ở dòng Camera Ai selfie và chụp ảnh chuyên nghiệp. Giá thành cao hơn cũng được chứ con v70 này chưa đáp ứng đối với tôi.",Design,positive,negative,positive → negative,1
"test máy ram 4 - rom 128, chip meatek p35 không phải snap 460, không hộ trợ sạc nhanh. Mặt lưng máy hơi xướt nhẹ, giá bình dân. Mình sử dụng làm máy phụ nên không đòi hỏi nhiều. Hy vọng máy tốt bền theo thời gian.",Design,positive,negative,positive → negative,1
"Điện thoại đẹp, hơi lag, giá này cao hơn mấy máy samsung A0S. Nên mua mấy samsung cùng tầm giá này sẽ ngon hơn. Pin không trâu như đọc đánh giá. Cảm giác xem youtube cũng lag không ổn lắm.",Design,positive,negative,positive → negative,1
"Đẹp oke, mặt lưng trơn trơn sờ vào rất đã tay, nếu máy chuyên để chơi game thì dùng thi thoảng vẫn hơi lag, không biết do mình dùng quen iphone rồi đổi qua adr nên tụt cảm giác, nhưng tầm giá 5-6 củ này thì mình thấy vẫn hơi cao",Design,positive,negative,positive → negative,1
"Chất lượng sản phẩm: Quá êm 
Tính năng nổi bật: Loa hay xuất sắc 
Đúng với mô tả: Chính xác máy quá ngon, mọi tính năng hoàn hảo. Máy 98% nên có cấn viền nhẹ, màn hình không 1 vết xước, có ám màu nhẹ 2 đốm nhỏ nhưng không ảnh hưởng hiển thị. Tóm lại là quá ngon với giá 4,5tr",Display,negative,positive,negative → positive,1
"Nhóm màu: Nhiều màu 
Dung lượng lưu trữ: 128gb hình thức ổn. Bước đầu tốt. Sạc nhanh. Pin ổn định. Oled nhưng không nổi bật lắm. Bước đầu hài lòng.",Display,negative,positive,negative → positive,1
"Pin siêu trâu, loa siêu to, honor x7c này có chức năng đập đá nữa vì độ bền rất cao nha anh em, rất thích hợp cho người lớn tuổi sử dụng. Tuy nhiên anh em muốn màn hình đẹp rõ nét hơn thì nên nâng lên x8b hoặc x9c nha. Honor x7c màu nào cũng đẹp. Cảm ơn, honor!",Display,negative,positive,negative → positive,1
màn hình lưu ảnh nhẹ. Máy cũ nhưng chạy được và cửa hàng có bảo hành nên yên tâm sử dụng,Display,negative,positive,negative → positive,1
Chất lượng phù hợp với giá tiền. Loa bé. Mở full âm hơi rè. Màn 120hz nhưng vẫn không mượt. Nói chung là mình không sử dụng. 5 sao Vì hình thức đẹp cửa hàng vui vẻ 😂,Display,neutral,negative,neutral → negative,1
"Màn hình HD IPS nhưng cảm nhận thấy còn đẹp và trắng trong hơn FullHD Amoled của Samsung S20fe. Lúc mới cài đặt thì máy rất lag, cài full apps và cập nhật lên hết thấy chạy ngon lành hơn. Cửa hàng giao hàng nhanh",Display,positive,negative,positive → negative,1
"Tính năng nổi bật: Nghe gọi chọi 
Đúng với mô tả: Đúng màn hình lớn, nhạc chưa được rõ. Chưa biết pin sử dụng được bao lâu",Display,positive,neutral,positive → neutral,1
"Khác 1 trời một vực so với hình ảnh và mô tả, phiên bản android 6. Hết hỗ trợ khả năng sẽ mất các ứng dụng.",General,negative,neutral,negative → neutral,1
Điện thoại khởi động không lên nguồn có video từ lúc khui hàng xin gửi lại cửa hàng nhé,General,negative,neutral,negative → neutral,1
Bùn. Đăc trắng giao hồng. Tặng sạc lỏ. Anh em mua bên maytinhbanghaiphong uy tính hơn,General,negative,positive,negative → positive,1
Mua để chơi game thì sắm gấp con sò lạnh mạnh mẽ Dl05 là còn cái nịt,General,negative,positive,negative → positive,1
"Tính năng nổi bật: Điện thoại chơi game 
Chất lượng sản phẩm: Với giá đã mua không có gì để nói săn sale mua được với giá 3 triệu 3, điện thoại giống mô tả, phù hợp với giá tiền. Có nfc. Mỗi cái khi đang trong ứng dụng thì vuốt phím ảo lên hơi khó khăn. Bấm 3 nhát mới thấy hiện phím ảo lên được.",General,negative,positive,negative → positive,1
"Xin lỗi cửa hàng tôi không biết sản phẩm này có tốt hay không bởi vì tôi mua nó cho người yêu tôi. Nhưng chưa kịp tặng thì chúng tôi chia tay. Cảm giác thật tệ tôi thật sự mong có thể thấy cô ấy mặc bộ váy này mà không thể nữa rồi. Có lẽ thương quá nên tôi vẫn chưa chấp nhận được Dù sao cũng tặng cửa hàng 5sao, cảm ơn cửa hàng chúc ngày mới tốt lành",General,negative,positive,negative → positive,1
"Tên sản phẩm: Xiaomi mi 11 lite 
Nhóm màu: Đen hình thức còn đẹp. Máy đã mở nắp lưng chứ không đúng hàng chưng bày. Góc chó trầy nhẹ. Chất lượng ban đầu thấy được còn sau chưa biết.",General,neutral,negative,neutral → negative,1
Variation3: Ram 6/128gb mua 6/128 nhưng cửa hàng lại giao 4/64. Cửa hàng nên chấn chỉnh lại ngay. Cửa hàng đã hoàn lại bớt tiền vì đã giao bản thiếu nên cho 3 sao,General,neutral,negative,neutral → negative,1
Chưa sử dụng để thời gian đánh giá hiện tại máy tốt không vấn đề gì,General,neutral,positive,neutral → positive,1
"Chất lượng sản phẩm: Mới sử dụng nên chưa có nhiều trải nghiệm nhưng chưa có đánh giá nhiều 
Tính năng nổi bật: Bàn phím và màn hình to 
Đúng với mô tả: Đúng với mô tả",General,neutral,positive,neutral → positive,1
"Chất lượng sản phẩm: Sử dụng lâu mới biết 
Tính năng nổi bật: Đẹp 
Đúng với mô tả: Đúng mô tả giao hàng nhanh. 2 ngày là đến. Mở ra thấy tốt luôn",General,neutral,positive,neutral → positive,1
"Giao hàng nhanh, đúng mô tả, độ bền phải dùng lâu mới biết hình ảnh mang tính chất nhận xu.",General,neutral,positive,neutral → positive,1
"Hàng chính hãng, sử dụng thời gian coi sao",General,neutral,positive,neutral → positive,1
Không có khe thẻ nhớ. Muốn sử dụng tai nghe có dây phải mua thêm bộ chuyển đổi type c sang 3.5. Tối ưu game khá tốt. Tản nhiệt có hơi kém. Chơi game nhẹ làm bố luôn game nặng thì hơi nóng phải kèm sò vào không thì không chơi lâu được. Trigger sử dụng ổn áp mỗi tội cứ ấn là rung lên không thích sử dụng lắm.,General,neutral,positive,neutral → positive,1
Mua luôn 2 máy săn sale,General,neutral,positive,neutral → positive,1
"Máy ổn ở mức giá 2. X. Có màn oled full hd. Chất lượng hiển thị tốt. Máy được cửa hàng việt hóa sẵn tiếng việt được tầm 85-90%. Pin 4000 hơi ít nhưng mình mua làm máy phụ nên tốt. Màn chỉ là 60hz, 1 loa mono. Không biết máy mọi người mua có bị như của mình không lúc xem yt xem ở tốc độ bt thì tốt, bật tốc độ 1.25 trở lên là hình đi trước tiếng xem hơi khó chịu. Máy thị trường jp nên phụ kiện kèm hộp chỉ có ốp lưng, chọc sim. Cửa hàng có tặng kèm 1 bộ sạc quảng cáo nhưng mình không sử dụng. Tóm lại ở mức giá 2. X thì cũng ổn",General,neutral,positive,neutral → positive,1
"Mượt máy mới, không trầy xước cấn móp gì. Chất lượng thì sử dụng mới biết",General,neutral,positive,neutral → positive,1
Mới nhận được hàng chưa biết chất lượng ra sao chưa test.. Thấy mẫu mã đẹp.. Giá cũng tốt... Kakaka,General,neutral,positive,neutral → positive,1
"Vui vẻ không nhạt nhẽo mỗi lần sử dụng là một trải nghiệm bất ngờ khác nhau,",General,neutral,positive,neutral → positive,1
"Đã nhận được hàng tốt, cửa hàng rất đàng hoàng, còn chờ sử dụng thử ít hôm xem",General,neutral,positive,neutral → positive,1
Chê cái là biết cửa hàng quá muộn chứ không là mua sớm hơn rồi,General,positive,negative,positive → negative,1
"Chất lượng sản phẩm: Ổn 
Tính năng nổi bật: Tuơng đối 
Đúng với mô tả: Tuơng đối bữa hỏi trong live bạn kia nói có ghi âm cụôc gọi thảo tác mà tìm hoài không ra",General,positive,negative,positive → negative,1
Chất lượng: Cũng cực ổn để làm máy phụ nha. Camera đốm nhẹ,General,positive,negative,positive → negative,1
"Cũ quá,, nát ghê : )) nhưng lấy cho trẻ con nghịch cũng ổn",General,positive,negative,positive → negative,1
"Honor tối ưu trải nghiệm của người dùng bằng hệ điều hành quá tốt nhưng tới Honor 200 thì hơi chững, máy đôi khi vẫn có lỗi nhỏ nhưng không đáng kể, mong là tương lai Honor sẽ cho những bản cập nhật giúp hoàn thiện hơn quá trình sử dụng.",General,positive,negative,positive → negative,1
"Mua ròi mới giảm giá, mua hơn triệu lúc giảm xuống có hơn 900, mua làm máy phụ hay mua cho trẻ con sử dụng thì ổn á, máy hơi lag chút",General,positive,negative,positive → negative,1
Sau 2 tuần sử dụng không vấn đề gì xảy ra. Trước đó mình unbox seal lỏng lẻo + có bụi bên trong lúc đập hộp. Không biết vì lí do gì. Tính hoà lại nhưng vì mất thời gian nên đã cân nhắc thêm. May mắn hiện tại không có vấn đề gì xảy ra,General,positive,negative,positive → negative,1
Thấy máy sử dụng tốt. Nhưng không có cho ốp thậm chí không cho 1 miếng fim dán chống xước màn. Chiếu cố cho 5 sao,General,positive,negative,positive → negative,1
"Tính năng nổi bật: Tốt 
Đúng với mô tả: Bộ nhớ màu sắc đúng, vỏ cũ 89% 
Chất lượng sản phẩm: 95% máy tạm ổn, săn được mã -200k",General,positive,negative,positive → negative,1
"Hàng chính hãng, mua tại cửa hàng chính hãng nên chất lượng thì khỏi phải bàn, hàng còn nguyên tem mua về mới tự bóc nha, giao hàng cơ bản. Lần đầu mua đồ trên shopee nên hơi lo nhưng kết quả tốt, mọi người có thể yên tâm nhé.",General,positive,neutral,positive → neutral,1
"Máy đã kích hoạt được 1 hơn 1 tháng, nhứng cái khác đều đúng mô tả.",General,positive,neutral,positive → neutral,1
Đã nhận được hàng và quà tặng từ cửa hàng. Cảm ơn!,General,positive,neutral,positive → neutral,1
"Hàng khá tốt. Đã sử dụng được một thời gian chưa thấy hiện tượng gì. Chỉ có điều cửa hàng gói điện thoại trong giấy ni lon chống sốc,chứ không phải trong hộp nguyên. Hình ảnh chỉ để lấy xu",Packaging,negative,positive,negative → positive,1
"Nhóm màu: Màu đen bóng khả năng lưu trữ: 128gb đặt màu đen giao màu xám, rất mới. Pin xạc 100%lúc 20h đến 5h sáng còn 92% dù không sử dụng gì. Tụt pin hơi nhanh. Rất hài lòng. Sạc theo hộp sạc rất nhanh. Hy vọng máy bền. Tặng cửa hàng 5 sao.!",Packaging,negative,positive,negative → positive,1
"Nhóm màu: Đen 
Dung lượng lưu trữ: 16gb đặt đen giao trắng, Sản phẩm dùng được là tốt rồi",Packaging,negative,positive,negative → positive,1
"Pin sạc siêu nhanh, màn hình cong nhìn thích. Mình sử dụng thấy mượt, nhiều tính năng. Mua trên shopee được trợ giá rẻ hơn mua bên ngoài nhiều,còn có quà tặng kèm. Góp ý cửa hàng đóng gói hộp bên ngoài hơi mỏng",Packaging,negative,positive,negative → positive,1
"Sản phẩm này có thiết kế đơn giản nhưng tinh tế, phù hợp với nhiều đối tượng người dùng. Chất lượng khá bền, sử dụng lâu dài mà không bị hỏng hóc nhanh. Giá thành hợp lý so với tính năng mang lại. Tuy nhiên, bao bì chưa thật sự nổi bật, nếu cải thiện hơn sẽ tạo ấn tượng mạnh mẽ hơn với khách hàng.",Packaging,negative,positive,negative → positive,1
Nhóm màu: Xanh ngọc khả năng lưu trữ: 128gb điện th không có hộp hả cửa hàng,Packaging,neutral,negative,neutral → negative,1
Chất lượng sản phẩm phần mềm chưa hoàn thiện. Đúng với mô tả nhiều chức năng demo không hoạt động. Tính năng nổi bật hiệu năng không ổn định. Review nhiều tính năng quảng cáo không sử dụng được app hay văng. Hiệu năng giật chuyển màn hình chậm. Đóng gói tốt nhưng hộp hơi móp. Hỗ trợ chỉ hướng dẫn cài lại mà không fix bug,Packaging,neutral,positive,neutral → positive,1
Chuẩn bị hàng và giao hàng quá lâu. Mình đặt từ 28/12 đến 10/1 mới đến tay trong khi mình ngay ngoại thành hn. Bọc hàng khá kĩ nhưng hộp của ip vẫn bị df 1 góc như hình. Chất lượng sản phẩm phải sử dụng mới đgia được. Giá rẻ.,Packaging,positive,negative,positive → negative,1
"1. Mình thấy nhiều người rw hệ điều hành này không được tối ưu hoá cho mấy 2. Không biết do máy hay gì nhưng chơi tốc chiến bật được 120fps nhưng mà toàn bị drop xuống 60-75( mặc dù máy rất mát) và 8/256 cũng thi thoảng bị văng game tốc chiến 3. 5g của máy cảm giác cũng không được mượt mà nên mình chỉ sử dụng 4g 4. Máy thì viền nhựa cầm không được sướng tay và dễ bị xước, mặt lưng của máy thì không biết nói sao nhưng cũng tàm tạm 5. Pin của máy là 6000 nhưng cảm giác không được trâu cho lắm 6. Còn mấy thứ còn lại thì tạm ổn( trừ cam nha =))) đây là những gì sau 1 tháng rưỡi mình trải nghiệm con poco x7 pro này",Performance,negative,neutral,negative → neutral,2
"Hiệu năng bị đơ. Dễ treo máy. Hiệu năng kém. Máy hay bị đơ cứng, phải chờ 1 lúc hoặc khởi động lại. Chăm sóc khách hàng bảo kiểm tra lại mạng. Pin sử dụng cũng bình thường",Performance,negative,neutral,negative → neutral,1
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Tốt 
Đúng với mô tả: Tốt
Một số ud chạy khá nhanh,chưi game thì mua,mượt phết,cũng hay bị lỗi, đơ máy phải tắt nguồn chạy lại,",Performance,negative,positive,negative → positive,1
"Giao hàng nhanh chóng, chất lượng sản phẩm tuyệt vời, hàng gói cẩn trọng, sẽ ủng hộ cửa hàng máy hơi chậm 🤣",Performance,negative,positive,negative → positive,1
"Màn hình lưu ảnh nhẹ camera ngon đó. Tự tin khẳng định pro thì 5tr quay đầu khó có con nào có camera cân bằng như vầy. Form cầm thì giống iphone 13 thường nhưng mà dài hơn so với 13. Mình cầm thì khá chắc tay còn xperia 5 thì bé quá. Lưu ảnh nhẹ nhưng mà màn còn rất ngon ai có nhu cầu máy phụ thôi hoặc thay vì mua máy nghe nhạc để tiền mua điện thoại thì nên mua bản này liên quân không suport tốt,hiệu năng chơi tốc chiến thì hơi khựng khựng. Thời lượng khoảng 4 tiếng tạm ổn",Performance,negative,positive,negative → positive,1
Sản phẩm chính hãng nhé... Đã check choác các kiểu.. Anh em nên cài ít ứng dụng không xài rất đơ... Nhất là lúc bật cam... Lúc đầu còn tưởng hàng fake cơ.. Cảm ơn cửa hàng... Hỗ trợ nhiệt tình.. Giá rẻ... Kick hoạt trước tầm 15-20 ngày nên có giá tốt.. Chúc cửa hàng ngày càng phát triển,Performance,negative,positive,negative → positive,1
